Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
28/05/2021,10306910999,32308387,0.19,0.20,0.21,0.19,0.13,0.09,0.13,0.08,0.09,0.12,0.08,0.07,0.11,0.21,0.10,0.09,0.12,0.21,0.09,0.02,0.07,0.07,0.11,0.12,0.07,0.13,0.05,0.03,0.07,0.03,0.05,0.08,0.05,0.14,0.26,0.20,0.22,0.40,0.34,0.23,0.15,0.20,0.17,0.16,0.17,0.15,0.15,0.45
29/05/2021,10306910999,32308387,0.10,0.13,0.09,0.11,0.14,0.07,0.10,0.08,0.07,0.11,0.07,0.05,0.04,0.06,0.03,0.01,0.05,0.00,0.08,0.65,0.01,0.03,0.02,0.07,0.05,0.21,0.03,0.39,0.10,0.00,0.11,0.23,0.06,0.06,0.05,0.07,0.15,0.61,2.32,1.40,0.24,0.19,0.18,0.13,0.15,0.09,0.14,0.18
30/05/2021,10306910999,32308387,0.10,0.14,0.10,0.15,0.14,0.11,0.09,0.09,0.07,0.09,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.04,0.53,0.01,0.35,0.02,0.00,0.17,0.09,1.00,0.13,0.03,0.00,0.00,0.00,0.00,0.03,0.06,0.06,0.09,0.12,0.31,1.69,1.28,0.19,0.40,0.23,0.11,0.11,0.15,0.17,0.12
31/05/2021,10306910999,32308387,0.15,0.18,0.12,0.10,0.08,0.08,0.11,0.13,0.09,0.08,0.05,0.04,0.00,0.02,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.01,0.02,0.01,0.04,0.04,0.08,0.10,0.15,0.15,0.15,0.15,0.15,0.16,0.21,0.18,0.14,0.59,0.32,0.21,0.11
01/06/2021,10306910999,32308387,0.38,0.17,0.13,0.09,0.08,0.10,0.13,0.09,0.08,0.09,0.12,0.07,0.02,0.19,0.03,0.05,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.20,0.03,0.00,0.00,0.00,0.02,0.06,0.07,0.06,0.14,0.17,0.19,0.21,0.20,0.20,0.16,0.14,0.21,0.13,0.13,0.26,0.16,0.28
02/06/2021,10306910999,32308387,0.15,0.10,0.14,0.12,0.09,0.09,0.13,0.13,0.09,0.09,0.11,0.10,0.02,0.14,0.36,0.07,0.02,0.29,0.08,0.10,0.06,0.04,0.07,0.14,0.18,0.05,0.14,0.18,0.09,0.02,0.04,0.06,0.03,0.06,0.10,0.11,0.09,0.25,0.89,0.79,0.15,0.16,0.09,0.12,0.16,0.11,0.08,0.16
03/06/2021,10306910999,32308387,0.14,0.10,0.10,0.13,0.15,0.12,0.08,0.11,0.11,0.07,0.06,0.05,0.00,0.02,0.37,0.00,0.04,0.13,0.15,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.09,0.15,0.12,0.12,0.18,0.22,0.16,0.14,0.22,0.16,0.11,0.12,0.17,0.15,0.19
04/06/2021,10306910999,32308387,0.12,0.17,0.18,0.21,0.08,0.11,0.09,0.07,0.07,0.11,0.08,0.05,0.04,0.58,0.04,0.00,0.16,0.91,0.13,0.03,0.00,0.01,0.03,0.06,0.00,0.16,0.07,0.03,0.02,0.04,0.06,0.06,0.05,0.08,0.14,0.09,0.09,0.14,0.16,0.14,0.14,0.22,0.21,0.91,0.84,0.15,0.09,0.12
05/06/2021,10306910999,32308387,0.11,0.18,0.09,0.10,0.16,0.14,0.08,0.07,0.13,0.12,0.06,0.06,0.09,0.05,0.02,0.07,0.03,0.02,0.29,0.56,0.04,0.05,0.01,0.36,0.11,0.21,0.43,0.16,0.19,0.11,0.14,1.78,0.88,0.15,0.18,0.20,0.97,1.32,0.27,0.17,0.14,0.16,0.17,0.18,0.11,0.13,0.14,0.07
06/06/2021,10306910999,32308387,0.11,0.17,0.13,0.07,0.07,0.11,0.11,0.08,0.07,0.10,0.07,0.01,0.01,0.02,0.00,0.01,0.03,0.23,1.58,0.26,0.00,0.01,0.13,0.07,0.19,0.97,0.36,0.06,0.05,0.04,0.06,0.65,0.12,0.07,0.59,0.13,0.14,0.52,0.88,0.49,0.22,0.15,0.13,0.11,0.07,0.09,0.15,0.10
07/06/2021,10306910999,32308387,0.12,0.18,0.11,0.12,0.07,0.08,0.11,0.12,0.09,0.07,0.06,0.08,0.08,0.05,0.03,0.04,0.00,0.01,0.02,0.23,0.19,0.30,0.39,0.25,0.44,0.07,0.06,0.03,0.06,0.00,0.04,0.00,0.00,0.07,0.13,0.12,0.10,0.60,0.44,0.16,0.18,0.13,0.80,0.90,0.32,0.14,0.15,0.14
